iter	MultiClass
0	1.483447057
1	1.287901654
2	1.14297397
3	1.025012658
4	0.9363983421
5	0.8593124079
6	0.7907722557
7	0.732753252
8	0.6851683768
9	0.6421475003
10	0.6039507262
11	0.5711283517
12	0.5384102015
13	0.5095666946
14	0.4842958193
15	0.4615771314
16	0.440606249
17	0.4211365173
18	0.401880544
19	0.384564573
20	0.3683513285
21	0.3544174319
22	0.3416206556
23	0.3313015219
24	0.3204215866
25	0.3101198808
26	0.3031329341
27	0.2943229567
28	0.2860877236
29	0.2784468558
30	0.2714492248
31	0.2666485088
32	0.2615138368
33	0.2560397549
34	0.2499743704
35	0.2452527519
36	0.2411711631
37	0.2361678414
38	0.2320187778
39	0.2276889724
40	0.2234399303
41	0.2205300412
42	0.217985378
43	0.2156817464
44	0.2134149792
45	0.212047287
46	0.2105638813
47	0.2082665601
48	0.2066009827
49	0.2051745191
50	0.2026031339
51	0.1998618843
52	0.1989522458
53	0.1962413655
54	0.1949876215
55	0.193141923
56	0.1912144564
57	0.189411112
58	0.1883356806
59	0.1867418326
60	0.1859362223
61	0.1850655374
62	0.1835070338
63	0.180896839
64	0.179532894
65	0.1782268836
66	0.1764643984
67	0.1753277691
68	0.17499392
69	0.1742439269
70	0.1732479561
71	0.1723207449
72	0.1707986614
73	0.1694113639
74	0.1681503328
75	0.1673718848
76	0.1664390223
77	0.1654522519
78	0.1646449912
79	0.1641079617
80	0.1629189788
81	0.1618206829
82	0.1610007454
83	0.159751411
84	0.1590904952
85	0.1584788108
86	0.1579354054
87	0.1572565071
88	0.1567179246
89	0.1561681183
90	0.1547658574
91	0.1535236079
92	0.1522302609
93	0.1514663522
94	0.151003293
95	0.1499020035
96	0.1495226103
97	0.1486034734
98	0.1479914121
99	0.1477468139
100	0.1470931928
101	0.1467380266
102	0.145585468
103	0.1449082936
104	0.1446925155
105	0.1440106243
106	0.1431991367
107	0.1425323215
108	0.1414797402
109	0.1409378581
110	0.1404751616
111	0.1396774116
112	0.1381603533
113	0.1376456134
114	0.1370315131
115	0.1367384374
116	0.1360383874
117	0.1352678239
118	0.1340918208
119	0.1328259915
120	0.1325065114
121	0.1318253832
122	0.1309801493
123	0.130435806
124	0.1297060307
125	0.1288202516
126	0.1284716462
127	0.127726772
128	0.1269149634
129	0.1258337722
130	0.1252949788
131	0.1246508257
132	0.1243451178
133	0.1238777476
134	0.1233699874
135	0.1223501366
136	0.1215236088
137	0.1212692129
138	0.1208763075
139	0.1197467566
140	0.119183417
141	0.1184497549
142	0.1178670678
143	0.117377176
144	0.116996355
145	0.1168043722
146	0.1159105164
147	0.1156131188
148	0.1150067127
149	0.1145590176
150	0.1139495098
151	0.1136399463
152	0.1129611665
153	0.1123441796
154	0.1119759824
155	0.1116852514
156	0.1113667545
157	0.1111291299
158	0.1104719188
159	0.1098591624
160	0.1094911258
161	0.1092722326
162	0.1087308685
163	0.1081266737
164	0.1076909559
165	0.1073147506
166	0.1071643806
167	0.1069429366
168	0.1062557535
169	0.1057823308
170	0.1054926364
171	0.1051785699
172	0.1044474433
173	0.1039324441
174	0.1033540428
175	0.1030117022
176	0.1025626566
177	0.102165238
178	0.1017628277
179	0.1013976182
180	0.1008519328
181	0.1006909969
182	0.1002584096
183	0.09991178345
184	0.09940986312
185	0.09935595479
186	0.09921105651
187	0.09871016281
188	0.09853259307
189	0.09789076741
190	0.09753847037
191	0.09721421035
192	0.09681367354
193	0.09626281278
194	0.09588584733
195	0.09563193783
196	0.09501445695
197	0.09484482973
198	0.09460132643
199	0.09439860947
200	0.09398122703
201	0.093764489
202	0.09342106753
203	0.09308566582
204	0.09267181026
205	0.09238401349
206	0.09191228218
207	0.09156022738
208	0.09104665249
209	0.09069440301
210	0.09029083236
211	0.09002742904
212	0.08947951193
213	0.08911300245
214	0.08889632785
215	0.08871410651
216	0.08833452196
217	0.08799866807
218	0.08771594225
219	0.08759234123
220	0.08741056441
221	0.08684471201
222	0.08658892219
223	0.08621544349
224	0.08588228729
225	0.08563765525
226	0.08547894879
227	0.08512134734
228	0.0849574125
229	0.08469899719
230	0.08461315583
231	0.08447694945
232	0.08419779038
233	0.08403277121
234	0.08332572427
235	0.08277774885
236	0.08238227103
237	0.08195255419
238	0.08158095846
239	0.08124939284
240	0.08088165219
241	0.08054024354
242	0.0803685083
243	0.08013110138
244	0.07987649918
245	0.0792940002
246	0.07887807854
247	0.07867791463
248	0.07845096568
249	0.07817019203
250	0.07763353493
251	0.07731875366
252	0.07715986024
253	0.07672943756
254	0.07634628224
255	0.07624119305
256	0.07586786672
257	0.07532969106
258	0.0751869758
259	0.07508434694
260	0.07449896096
261	0.07433942004
262	0.07415053369
263	0.07387604694
264	0.07360190603
265	0.07327033243
266	0.07308813921
267	0.07280648267
268	0.07251582871
269	0.0723170824
270	0.0719768792
271	0.07167200293
272	0.07153304663
273	0.07144472528
274	0.07128117203
275	0.07113859901
276	0.07100797941
277	0.07066494091
278	0.07053767963
279	0.07048391913
280	0.07012044166
281	0.06994681013
282	0.06960121755
283	0.06948329373
284	0.0693581105
285	0.06909539392
286	0.06882453809
287	0.06864441523
288	0.06832112184
289	0.06808422591
290	0.06790126816
291	0.06771893241
292	0.06755589986
293	0.06749021755
294	0.06721389956
295	0.06702202117
296	0.06693312408
297	0.06671049469
298	0.06660788055
299	0.06646126161
300	0.06636740137
301	0.06595696725
302	0.06587780496
303	0.06565883721
304	0.06529053538
305	0.06514368164
306	0.06495707602
307	0.06462622259
308	0.06450432599
309	0.06437128215
310	0.06407238898
311	0.06387843226
312	0.06371929518
313	0.06357114543
314	0.0634093391
315	0.06325531833
316	0.06300265525
317	0.06283273391
318	0.06248047254
319	0.06231070813
320	0.06221634528
321	0.06206374365
322	0.06193081286
323	0.06183924592
324	0.06173896301
325	0.06155502668
326	0.06148508416
327	0.06137736016
328	0.06128926615
329	0.06103742733
330	0.06095745271
331	0.06083943191
332	0.06059850027
333	0.0605341558
334	0.06045829501
335	0.06030276654
336	0.06012012784
337	0.05997237265
338	0.05978425744
339	0.05957749913
340	0.05946255966
341	0.05936990762
342	0.05915961283
343	0.05905832894
344	0.05886110541
345	0.05869516621
346	0.05856455261
347	0.05846743772
348	0.0583576761
349	0.05818936054
350	0.05797006394
351	0.05783096425
352	0.05772829675
353	0.05758628942
354	0.05750002505
355	0.05734060128
356	0.05724573976
357	0.05701654627
358	0.05690098013
359	0.05679915085
360	0.05664016342
361	0.05654963694
362	0.05633950821
363	0.05613042506
364	0.05595201802
365	0.05590906598
366	0.0556454977
367	0.05554084103
368	0.05547966165
369	0.05537128929
370	0.05516762114
371	0.05499989728
372	0.05486960798
373	0.05479212298
374	0.05466374804
375	0.05453051702
376	0.05442672757
377	0.05427879622
378	0.05407147516
379	0.05392777468
380	0.0538681266
381	0.05364391209
382	0.05351165291
383	0.05338178654
384	0.05328275817
385	0.05307604845
386	0.05288004968
387	0.05281247518
388	0.05269473024
389	0.05255463511
390	0.05232080433
391	0.05226447373
392	0.05217971369
393	0.05198552896
394	0.05182770723
395	0.05166502261
396	0.05138031853
397	0.0512996089
398	0.05106504147
399	0.05100486997
400	0.050906873
401	0.05076085977
402	0.05061007934
403	0.05054833446
404	0.05049969611
405	0.05037501235
406	0.05022541464
407	0.05003261912
408	0.04994995072
409	0.04987500508
410	0.04975878823
411	0.04967990686
412	0.04949013136
413	0.04936096867
414	0.04914770634
415	0.04905751233
416	0.04898525471
417	0.04881992953
418	0.0487555664
419	0.04866914339
420	0.04859710316
421	0.04851148381
422	0.04843951697
423	0.04837136304
424	0.04830609458
425	0.04826095274
426	0.04819917941
427	0.0481059209
428	0.04792531833
429	0.04784133016
430	0.04777105587
431	0.04770717672
432	0.04759165218
433	0.0474926627
434	0.04741920334
435	0.0472907434
436	0.04720032534
437	0.04702375883
438	0.04685344883
439	0.04668929431
440	0.04646606505
441	0.04638541098
442	0.04629452285
443	0.0461661321
444	0.04598985995
445	0.04585253954
446	0.04579207632
447	0.04575714437
448	0.04565827227
449	0.04556083743
450	0.04540596726
451	0.04529636877
452	0.04520403303
453	0.04509783695
454	0.04501591048
455	0.04495756846
456	0.04489086727
457	0.04483102403
458	0.04468922757
459	0.04462574308
460	0.04456696006
461	0.04449041018
462	0.04445556433
463	0.04433171058
464	0.0442071717
465	0.04417424053
466	0.04404148064
467	0.04392780765
468	0.04384681235
469	0.04372989647
470	0.04355961336
471	0.04345827671
472	0.04339332782
473	0.04329408791
474	0.04318251403
475	0.04315504988
476	0.04300084135
477	0.04293953564
478	0.04282282296
479	0.04267636697
480	0.04259284673
481	0.04255149992
482	0.04247176892
483	0.04238081947
484	0.04232107374
485	0.04220918139
486	0.04207756075
487	0.04199122019
488	0.04184034584
489	0.04170285956
490	0.04155125538
491	0.04142798709
492	0.04131159053
493	0.04126040271
494	0.04117111226
495	0.04109478236
496	0.0410461214
497	0.04092686975
498	0.04080840284
499	0.04068411321
500	0.04061807205
501	0.0404401796
502	0.04036149982
503	0.04024514226
504	0.04015115454
505	0.04010347033
506	0.03992305737
507	0.03983798729
508	0.03969936813
509	0.03956177092
510	0.03946735348
511	0.03937306641
512	0.03930347237
513	0.03922087414
514	0.03911386759
515	0.03906959885
516	0.03895773386
517	0.03890655093
518	0.03878700705
519	0.03869468932
520	0.03862686433
521	0.03852818979
522	0.0384681771
523	0.03839741779
524	0.03833265272
525	0.03824448392
526	0.03812750094
527	0.03801968017
528	0.03793430263
529	0.03788791148
530	0.037731634
531	0.03765854961
532	0.03754177216
533	0.03747186291
534	0.03736631879
535	0.0372401038
536	0.03705848884
537	0.03698914673
538	0.03694951179
539	0.03676222966
540	0.03664920592
541	0.03653486999
542	0.03643798998
543	0.03636026669
544	0.03628239715
545	0.03622046552
546	0.03616427049
547	0.03610515831
548	0.03604288652
549	0.03598681884
550	0.03596236521
551	0.03591732584
552	0.03583105152
553	0.03581065759
554	0.03574408699
555	0.03568791048
556	0.03556554722
557	0.03553522063
558	0.03549247579
