iter	Passed	Remaining
0	114	114727
1	207	103485
2	267	88949
3	326	81233
4	387	77198
5	450	74661
6	509	72255
7	580	72003
8	650	71585
9	710	70298
10	778	69971
11	840	69234
12	904	68637
13	972	68462
14	1038	68181
15	1095	67382
16	1156	66866
17	1219	66522
18	1275	65859
19	1337	65539
20	1399	65246
21	1461	64952
22	1518	64503
23	1579	64252
24	1634	63732
25	1696	63544
26	1750	63076
27	1811	62892
28	1873	62713
29	1926	62281
30	1985	62077
31	2040	61714
32	2094	61381
33	2152	61167
34	2216	61108
35	2272	60839
36	2337	60845
37	2414	61118
38	2481	61158
39	2548	61169
40	2622	61339
41	2685	61246
42	2742	61041
43	2808	61029
44	2865	60809
45	2921	60599
46	2978	60402
47	3041	60321
48	3097	60122
49	3157	59993
50	3216	59843
51	3288	59945
52	3345	59780
53	3403	59616
54	3458	59424
55	3517	59288
56	3572	59098
57	3629	58945
58	3690	58853
59	3748	58719
60	3800	58505
61	3857	58355
62	3911	58176
63	3974	58130
64	4035	58049
65	4092	57920
66	4152	57820
67	4204	57630
68	4263	57523
69	4317	57362
70	4378	57293
71	4432	57126
72	4487	56991
73	4546	56895
74	4606	56818
75	4665	56723
76	4729	56692
77	4785	56565
78	4840	56428
79	4894	56291
80	4954	56213
81	5011	56107
82	5066	55977
83	5122	55860
84	5174	55703
85	5234	55627
86	5293	55547
87	5347	55416
88	5405	55331
89	5460	55213
90	5515	55096
91	5575	55023
92	5634	54947
93	5694	54883
94	5748	54765
95	5801	54634
96	5860	54560
97	5916	54458
98	5973	54361
99	6032	54290
100	6086	54172
101	6139	54054
102	6201	54004
103	6254	53880
104	6306	53751
105	6364	53681
106	6422	53604
107	6478	53503
108	6538	53450
109	6597	53379
110	6656	53310
111	6717	53257
112	6777	53200
113	6831	53096
114	6890	53027
115	6946	52934
116	6999	52822
117	7057	52750
118	7115	52681
119	7172	52597
120	7231	52529
121	7287	52443
122	7347	52390
123	7408	52334
124	7464	52249
125	7521	52169
126	7578	52092
127	7634	52009
128	7693	51949
129	7756	51907
130	7818	51866
131	7878	51807
132	7933	51713
133	7992	51651
134	8046	51559
135	8099	51457
136	8157	51383
137	8210	51286
138	8269	51226
139	8331	51180
140	8394	51138
141	8452	51073
142	8511	51006
143	8570	50947
144	8628	50879
145	8681	50781
146	8740	50718
147	8801	50668
148	8856	50581
149	8913	50507
150	8974	50457
151	9029	50377
152	9091	50328
153	9153	50285
154	9213	50228
155	9265	50129
156	9326	50078
157	9381	49995
158	9441	49940
159	9504	49896
160	9560	49819
161	9616	49743
162	9677	49692
163	9735	49627
164	9794	49566
165	9852	49497
166	9906	49413
167	9961	49334
168	10024	49292
